dataset,window_id,scenario,feature,feature_type,detector,statistic,p_value,effect_size,drift_flag
medical,2,covariate,glucose,numeric,ks,0.027705627705627706,0.9998917689185041,0.005853633395345781,False
medical,2,covariate,resting_heart_rate,numeric,ks,0.044805194805194806,0.9434916638919968,0.036429975189138826,False
medical,2,covariate,smoking_status,categorical,chi2,0.42113157326383366,0.9358434312439708,0.0032350420005705432,False
medical,2,covariate,family_history,categorical,chi2,0.020333439864712755,0.8866097534337198,0.00041833427616399995,False
medical,2,covariate,physical_activity_hours,numeric,ks,0.03230231978049389,0.9987939448364537,0.010812719497839405,False
medical,2,covariate,stress_level,numeric,ks,0.03455988455988456,0.9959264327707035,0.008969539261530594,False
medical,2,covariate,alcohol_units_weekly,numeric,ks,0.021356421356421358,0.999999884137826,0.006358437834625797,False
medical,3,prior,age,numeric,ks,0.19978354978354979,5.1840652999618894e-05,0.3381495262019099,True
medical,3,prior,sex,categorical,chi2,0.23561969428245313,0.6273878588176074,0.002537398962645745,False
medical,3,prior,bmi,numeric,ks,0.07943696450428396,0.3792041615390185,0.028945010837861048,False
medical,3,prior,systolic_bp,numeric,ks,0.24906204906204907,1.4734925141372918e-07,0.2808289362635955,True
medical,3,prior,diastolic_bp,numeric,ks,0.07438672438672439,0.44346042357896664,0.06531638555337263,False
medical,3,prior,cholesterol,numeric,ks,0.13353581901969,0.01898775835137828,0.1348704410703009,True
medical,3,prior,glucose,numeric,ks,0.03506493506493506,0.9951031533335445,0.02718415614293274,False
medical,3,prior,resting_heart_rate,numeric,ks,0.05375180375180375,0.8230460334466758,0.07237073092320521,False
medical,3,prior,smoking_status,categorical,chi2,3.938067319406807,0.2682298672765709,0.030333114917502985,False
medical,3,prior,family_history,categorical,chi2,0.061844403857372464,0.8036041810493924,0.0008856008693449301,False
medical,3,prior,physical_activity_hours,numeric,ks,0.11747246022031824,0.05584257946814222,0.0709775803022707,False
medical,3,prior,stress_level,numeric,ks,0.11457431457431458,0.06046061818006048,0.08861167340385223,False
medical,3,prior,alcohol_units_weekly,numeric,ks,0.06717171717171717,0.573033762979807,0.048072235149522025,False
medical,4,combined,age,numeric,ks,0.4113997113997114,3.6027964464136655e-20,2.5668457574647716,True
medical,4,combined,sex,categorical,chi2,29.00451433216122,7.220982674861275e-08,0.24336453122932672,True
medical,4,combined,bmi,numeric,ks,0.3833133971291866,2.954841769853473e-17,0.8370449317320166,True
medical,4,combined,systolic_bp,numeric,ks,0.24906204906204907,1.4734925141372918e-07,0.2808289362635955,True
medical,4,combined,diastolic_bp,numeric,ks,0.07438672438672439,0.44346042357896664,0.06531638555337263,False
medical,4,combined,cholesterol,numeric,ks,0.13353581901969,0.01898775835137828,0.1348704410703009,True
medical,4,combined,glucose,numeric,ks,0.03506493506493506,0.9951031533335445,0.02718415614293274,False
medical,4,combined,resting_heart_rate,numeric,ks,0.05375180375180375,0.8230460334466758,0.07237073092320521,False
medical,4,combined,smoking_status,categorical,chi2,3.938067319406807,0.2682298672765709,0.030333114917502985,False
medical,4,combined,family_history,categorical,chi2,0.061844403857372464,0.8036041810493924,0.0008856008693449301,False
medical,4,combined,physical_activity_hours,numeric,ks,0.11747246022031824,0.05584257946814222,0.0709775803022707,False
medical,4,combined,stress_level,numeric,ks,0.11457431457431458,0.06046061818006048,0.08861167340385223,False
medical,4,combined,alcohol_units_weekly,numeric,ks,0.06717171717171717,0.573033762979807,0.048072235149522025,False
finance,1,stable,age,numeric,ks,0.06038961038961039,0.66410138736106,0.026814170902384877,False
finance,1,stable,annual_income,numeric,ks,0.024532122476529424,0.999986825461196,0.010582520492244899,False
finance,1,stable,loan_amount,numeric,ks,0.044805194805194806,0.9291813461349367,0.02221943675802543,False
finance,1,stable,loan_to_income,numeric,ks,0.040497076023391816,0.9687319103096852,0.020077667288924503,False
finance,1,stable,credit_score,numeric,ks,0.01646518109254483,0.9999999999924716,0.002049032935382713,False
finance,1,stable,employment_years,numeric,ks,0.03441558441558441,0.9944569338076638,0.016632678851124353,False
finance,1,stable,delinquency_count,numeric,ks,0.046753246753246755,0.9051959528181359,0.010941988684832035,False
finance,1,stable,open_credit_lines,numeric,ks,0.025974025974025976,0.9999532952939384,0.028263888394598344,False
finance,1,stable,utilization_ratio,numeric,ks,0.03701298701298701,0.9870374772374967,0.02509896575731628,False
finance,1,stable,savings_balance,numeric,ks,0.06845373315159776,0.5211776473550634,0.02191146028315191,False
finance,1,stable,housing_status,categorical,chi2,0.06793880083050603,0.9666010817766986,0.0004857924722825863,False
finance,1,stable,employment_type,categorical,chi2,3.0689991160398584,0.3811087319131443,0.023511396894257162,False
finance,1,stable,previous_default,categorical,chi2,0.0,1.0,7.280317614620678e-05,False
finance,1,stable,purpose,categorical,chi2,1.0427671366159843,0.7909051060675606,0.0074389492413648416,False
finance,2,covariate,age,numeric,ks,0.30454545454545456,5.851413541699713e-12,2.383121628070468,True
finance,2,covariate,annual_income,numeric,ks,0.3387862796833773,1.09639720292359e-14,1.5930198216604103,True
finance,2,covariate,loan_amount,numeric,ks,0.044805194805194806,0.9291813461349367,0.02221943675802543,False
finance,2,covariate,loan_to_income,numeric,ks,0.040497076023391816,0.9687319103096852,0.020077667288924503,False
finance,2,covariate,credit_score,numeric,ks,0.01646518109254483,0.9999999999924716,0.002049032935382713,False
finance,2,covariate,employment_years,numeric,ks,0.03441558441558441,0.9944569338076638,0.016632678851124353,False
finance,2,covariate,delinquency_count,numeric,ks,0.046753246753246755,0.9051959528181359,0.010941988684832035,False
finance,2,covariate,open_credit_lines,numeric,ks,0.025974025974025976,0.9999532952939384,0.028263888394598344,False
finance,2,covariate,utilization_ratio,numeric,ks,0.03701298701298701,0.9870374772374967,0.02509896575731628,False
finance,2,covariate,savings_balance,numeric,ks,0.06845373315159776,0.5211776473550634,0.02191146028315191,False
finance,2,covariate,housing_status,categorical,chi2,73.31400986893651,1.202444482384156e-16,0.5175764281792119,True
finance,2,covariate,employment_type,categorical,chi2,3.0689991160398584,0.3811087319131443,0.023511396894257162,False
finance,2,covariate,previous_default,categorical,chi2,0.0,1.0,7.280317614620678e-05,False
finance,2,covariate,purpose,categorical,chi2,1.0427671366159843,0.7909051060675606,0.0074389492413648416,False
finance,3,prior,age,numeric,ks,0.08636363636363636,0.23367040665664926,0.07205947925380592,False
finance,3,prior,annual_income,numeric,ks,0.10447557818325963,0.09320806262020774,0.11279217314278173,False
finance,3,prior,loan_amount,numeric,ks,0.07597402597402597,0.3755045161016847,0.0887741032041783,False
finance,3,prior,loan_to_income,numeric,ks,0.07892333573660178,0.3300942953349176,0.09557129772842955,False
finance,3,prior,credit_score,numeric,ks,0.125272962803035,0.02439002165747524,0.09511866974900843,True
finance,3,prior,employment_years,numeric,ks,0.08181818181818182,0.2899474508326016,0.0897637824366387,False
finance,3,prior,delinquency_count,numeric,ks,0.07402597402597402,0.4072799434597147,0.027396985859861604,False
finance,3,prior,open_credit_lines,numeric,ks,0.04935064935064935,0.8677622790990197,0.06323654377345217,False
finance,3,prior,utilization_ratio,numeric,ks,0.05974025974025974,0.6770557832611552,0.06710861870523992,False
finance,3,prior,savings_balance,numeric,ks,0.08140239285173406,0.30946878436501607,0.02323533646182902,False
finance,3,prior,housing_status,categorical,chi2,2.420035383067085,0.29819200390938216,0.01726952743434953,False
finance,3,prior,employment_type,categorical,chi2,0.28065456145789913,0.9636248036986539,0.0020872798147455063,False
finance,3,prior,previous_default,categorical,chi2,1.4978332171377875,0.22100505806816928,0.012410675473303958,False
finance,3,prior,purpose,categorical,chi2,2.5436433147712147,0.4674553654433403,0.01835348461914458,False
finance,4,combined,age,numeric,ks,0.2863636363636364,1.3124341963595708e-10,2.4071966827289963,True
finance,4,combined,annual_income,numeric,ks,0.30344207243943394,7.859400623759146e-12,1.5290236280192055,True
finance,4,combined,loan_amount,numeric,ks,0.07597402597402597,0.3755045161016847,0.0887741032041783,False
finance,4,combined,loan_to_income,numeric,ks,0.07892333573660178,0.3300942953349176,0.09557129772842955,False
finance,4,combined,credit_score,numeric,ks,0.125272962803035,0.02439002165747524,0.09511866974900843,True
finance,4,combined,employment_years,numeric,ks,0.08181818181818182,0.2899474508326016,0.0897637824366387,False
finance,4,combined,delinquency_count,numeric,ks,0.07402597402597402,0.4072799434597147,0.027396985859861604,False
finance,4,combined,open_credit_lines,numeric,ks,0.04935064935064935,0.8677622790990197,0.06323654377345217,False
finance,4,combined,utilization_ratio,numeric,ks,0.05974025974025974,0.6770557832611552,0.06710861870523992,False
finance,4,combined,savings_balance,numeric,ks,0.08140239285173406,0.30946878436501607,0.02323533646182902,False
finance,4,combined,housing_status,categorical,chi2,101.3847156830882,9.651364432442529e-23,0.732698639791604,True
finance,4,combined,employment_type,categorical,chi2,0.28065456145789913,0.9636248036986539,0.0020872798147455063,False
finance,4,combined,previous_default,categorical,chi2,1.4978332171377875,0.22100505806816928,0.012410675473303958,False
finance,4,combined,purpose,categorical,chi2,2.5436433147712147,0.4674553654433403,0.01835348461914458,False
