dataset,model,variant,threshold,precision,recall,f1,fp_rate,fn_rate,expected_cost
medical,RandomForest,uncalibrated,0.15,0.3238095238095238,0.8717948717948718,0.4722222222222222,0.39444444444444443,0.027777777777777776,0.5333333333333333
medical,RandomForest,uncalibrated,0.2,0.375,0.7692307692307693,0.5042016806722689,0.2777777777777778,0.05,0.5277777777777778
medical,RandomForest,uncalibrated,0.25,0.41935483870967744,0.6666666666666666,0.5148514851485149,0.2,0.07222222222222222,0.5611111111111111
medical,RandomForest,uncalibrated,0.3,0.5,0.5897435897435898,0.5411764705882353,0.12777777777777777,0.08888888888888889,0.5722222222222222
medical,RandomForest,uncalibrated,0.35,0.5151515151515151,0.4358974358974359,0.4722222222222222,0.08888888888888889,0.12222222222222222,0.7
medical,RandomForest,uncalibrated,0.4,0.52,0.3333333333333333,0.40625,0.06666666666666667,0.14444444444444443,0.7888888888888889
medical,RandomForest,uncalibrated,0.45,0.5333333333333333,0.20512820512820512,0.2962962962962963,0.03888888888888889,0.17222222222222222,0.9
medical,RandomForest,uncalibrated,0.5,0.7,0.1794871794871795,0.2857142857142857,0.016666666666666666,0.17777777777777778,0.9055555555555556
medical,RandomForest,uncalibrated,0.55,0.7142857142857143,0.1282051282051282,0.21739130434782608,0.011111111111111112,0.18888888888888888,0.9555555555555556
medical,RandomForest,uncalibrated,0.6,0.75,0.07692307692307693,0.13953488372093023,0.005555555555555556,0.2,1.0055555555555555
medical,RandomForest,uncalibrated,0.65,0.0,0.0,0.0,0.005555555555555556,0.21666666666666667,1.0888888888888888
medical,RandomForest,uncalibrated,0.7,0.0,0.0,0.0,0.005555555555555556,0.21666666666666667,1.0888888888888888
medical,RandomForest,uncalibrated,0.75,0.0,0.0,0.0,0.0,0.21666666666666667,1.0833333333333333
medical,RandomForest,uncalibrated,0.8,0.0,0.0,0.0,0.0,0.21666666666666667,1.0833333333333333
medical,RandomForest,uncalibrated,0.85,0.0,0.0,0.0,0.0,0.21666666666666667,1.0833333333333333
medical,RandomForest,uncalibrated,0.9,0.0,0.0,0.0,0.0,0.21666666666666667,1.0833333333333333
medical,RandomForest,uncalibrated,0.95,0.0,0.0,0.0,0.0,0.21666666666666667,1.0833333333333333
medical,RandomForest,calibrated_best,0.05,0.24050632911392406,0.9743589743589743,0.38578680203045684,0.6666666666666666,0.005555555555555556,0.6944444444444444
medical,RandomForest,calibrated_best,0.1,0.2695035460992908,0.9743589743589743,0.4222222222222222,0.5722222222222222,0.005555555555555556,0.6
medical,RandomForest,calibrated_best,0.15,0.3153153153153153,0.8974358974358975,0.4666666666666667,0.4222222222222222,0.022222222222222223,0.5333333333333333
medical,RandomForest,calibrated_best,0.2,0.41333333333333333,0.7948717948717948,0.543859649122807,0.24444444444444444,0.044444444444444446,0.4666666666666667
medical,RandomForest,calibrated_best,0.25,0.43333333333333335,0.6666666666666666,0.5252525252525253,0.18888888888888888,0.07222222222222222,0.55
medical,RandomForest,calibrated_best,0.3,0.48,0.6153846153846154,0.5393258426966292,0.14444444444444443,0.08333333333333333,0.5611111111111111
medical,RandomForest,calibrated_best,0.35,0.5,0.48717948717948717,0.4935064935064935,0.10555555555555556,0.1111111111111111,0.6611111111111111
medical,RandomForest,calibrated_best,0.4,0.6296296296296297,0.4358974358974359,0.5151515151515151,0.05555555555555555,0.12222222222222222,0.6666666666666666
medical,RandomForest,calibrated_best,0.45,0.64,0.41025641025641024,0.5,0.05,0.12777777777777777,0.6888888888888889
medical,RandomForest,calibrated_best,0.5,0.7142857142857143,0.2564102564102564,0.37735849056603776,0.022222222222222223,0.16111111111111112,0.8277777777777777
medical,RandomForest,calibrated_best,0.55,0.7142857142857143,0.1282051282051282,0.21739130434782608,0.011111111111111112,0.18888888888888888,0.9555555555555556
medical,RandomForest,calibrated_best,0.6,0.6666666666666666,0.10256410256410256,0.17777777777777778,0.011111111111111112,0.19444444444444445,0.9833333333333333
medical,RandomForest,calibrated_best,0.65,0.6,0.07692307692307693,0.13636363636363635,0.011111111111111112,0.2,1.011111111111111
medical,RandomForest,calibrated_best,0.7,0.0,0.0,0.0,0.005555555555555556,0.21666666666666667,1.0888888888888888
medical,RandomForest,calibrated_best,0.75,0.0,0.0,0.0,0.0,0.21666666666666667,1.0833333333333333
medical,RandomForest,calibrated_best,0.8,0.0,0.0,0.0,0.0,0.21666666666666667,1.0833333333333333
medical,RandomForest,calibrated_best,0.85,0.0,0.0,0.0,0.0,0.21666666666666667,1.0833333333333333
medical,RandomForest,calibrated_best,0.9,0.0,0.0,0.0,0.0,0.21666666666666667,1.0833333333333333
medical,RandomForest,calibrated_best,0.95,0.0,0.0,0.0,0.0,0.21666666666666667,1.0833333333333333
